longitude,latitude,id,name,start_date,operator:decription,education:type,education:type,education:type,education:type,education:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,operator:type,government:registered,government:registered,government:registered,government:registered,education:gender_type,education:operate_as,education:exam_center,education:exam_affiliate,,education:students,education:students_male,education:students_female,education:teachers_male,education:teachers_female,education:fees,education:fees,education:fees,education:fees,education:sponsored_by,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:funding,education:fees_per_term,education:fees_level1,education:fees_level2,education:fees_level3,education:fees_level4,education:fees_other,building:material,building:material,building:material,accessibility,accessibility,accessibility,education:program_feeding,education:program_feeding_description,education:program_feeding_description,education:program_feeding_description,toilet:teachers,toilet:teachers,toilets:female,toilets:male,toilet:present,building:classrooms,building:library,internet_access,electricity:operational_status,waste:garbage_disposal,laboratory,laboratory:equipment,laboratory,barrier:gate,barrier:security_fence,playground,room:staff,room:kitchen,education:teachers_male,education:teachers_female,education:teachers_trained,education:tsc_employed,education:extra_sports,education:extra_drama,education:extra_woodwork,education:extra_scouts/girl_guide,education:extra_music,education:extra_nature_club,education:extra_agriculture_club,education:extra_other,education:pta,education:management_committee,education:board_of_management,education:other
36.864411,-1.25921,11,Pilot education day care center - preschool,n/a,n/a,y,n,n,n,n,n,n,n,n,n,n,n,APBET,n/a,APBET,n/a,n/a,Mixed boys and girls,Day scholars only,y,n/a,2017,176,85,91,0,8,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,3900,n/a,n/a,n/a,n/a,n/a,n,y,n/a,y,y,y,y,n,"Break - 1500
Break/Lunch - 3000",n,1,1,2,2,inside school compound,6,y,n,sometimes,always,n,n,n,y,y,y,y,y,n/a,n/a,n/a,n/a,y,n,n,n,n,n,n,n/a,n/a,n/a,n/a,n/a
36.864411,-1.25921,12,Pilot eucation day care center,n/a,n/a,n,y,n,n,n,n,n,n,n,n,n,n,APBET,n/a,APBET,n/a,n/a,Mixed boys and girls,Day scholars only,y,n/a,2017,392,202,190,7,2,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,4400,n/a,n/a,n/a,n/a,n/a,n,y,n/a,y,y,y,y,n,3000,n,1 shared with male teachers,1 shared with female teachers,2,2,inside school compound,7,y,n,sometimes,always,n,n,n,y,y,y,y,y,n/a,n/a,n/a,n/a,y,y,n,y,n,n,n,n/a,n,n,y,n/a
36.850176,-1.262584,13,Deut academy school,2013,n/a,y,y,n,n,n,n,n,n,n,n,y,n,n/a,government registered,provisional APBET certificate,n/a,CBO/NGO,Mixed boys and girls,Day scholars only,n,school is until std. 4,n/a,n/a,80,120,n/a,4,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,400,400,400,n/a,n/a,n/a,n,y,n/a,n,n,y,y,y,15000,n,1,n/a,n/a,n/a,inside school compound,n/a,n,n,sometimes,sometimes,n,n,n,n,n,n,y,y,n/a,4,n/a,n/a,n,n,n,n,y,n,n,n/a,n,y,n,n/a
36.849539,-1.264512,14,Mum's care academy,1978,Redeemed gospel church,y,y,n,n,n,n,n,n,n,y,n,n,n/a,unregistered but have applied for registration,n/a,attorney general,registered as a business,Mixed boys and girls,Day scholars only,n,the school has not reaches std. 8,n/a,126,56,70,0,4,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,1700,1700,2200,n/a,n/a,n/a,y,n,n/a,y,y,y,y,n,1500,n,1,n/a,2,2,inside school compound,4,n,n,always,always,n,n,n,y,y,y,y,y,n/a,4,0,0,n,n,n,n,n,n,n,n/a,n,y,n,n/a
36.865942,-1.259688,15,Destiny kids rescue centre,2010,n/a,y,n,n,n,n,n,y,n,n,n,n,n,n/a,n/a,n/a,n/a,CBO/NGO,Mixed boys and girls,Day scholars only,n,Ngei PAG primary school,n/a,132,n/a,n/a,n/a,4,y,n,n,n/a,n/a,n,y,n,n,n,n,n,n/a,3000,n/a,n/a,n/a,n/a,n/a,y,n,n/a,y,y,y,y,n,2000,n,1,1,1,2,inside school compound,3,y,n,always,always,n,n,n,y,y,n,y,y,n/a,4,n/a,n/a,y,n,n,n,y,n,n,n/a,n,n,y,n/a
36.865942,-1.259688,16,Destiny kids rescue centre,2010,n/a,n,y,n,n,n,n,y,n,n,n,n,n,n/a,n/a,n/a,n/a,CBO/NGO,Mixed boys and girls,Day scholars only,n,Ngei PAG,2017,163,n/a,n/a,5,3,y,n,n,n/a,n/a,n,n,n,n,n,n,n,work UNICEF,3000,n/a,n/a,n/a,n/a,n/a,y,n,n/a,y,y,y,y,n,2000,n,1,1,1,2,inside school compound,7,y,n/a,always,n/a,n,n,n,y,y,n,y,y,5,3,4,n/a,y,y,n,y,y,y,n,n/a,n,n,y,n/a
36.863702,-1.257571,17,Heidemarie Mathare 4A primary,n/a,city county,y,y,n,n,y,y,n,y,n,y,n,n,n/a,government registered,n/a,city council,n/a,Mixed boys and girls,Day scholars only,y,n,n/a,n/a,600,900,9,26,y,y,y,n/a,tushinde; magnificant,n,n,n,n,n,n,n,n/a,900,900,650,n/a,n/a,250,y,n,n/a,y,y,y,y,y,450,y,3,3,8,8,inside school compound,30,y,n,sometimes,never,n,n,n,y,y,y,y,y,n/a,n/a,4,23,y,n,n,y,y,n,n,n/a,n,y,y,n/a
36.871562,-1.255753,18,Mary rosana academy,2015,youth group,y,n,n,n,n,n,n,n,n,n,n,n,youth group,n/a,n/a,n/a,youth group,Mixed boys and girls,Day scholars only,n,n/a,2016,150,70,80,1,2,y,n,n,n/a,n/a,n,n,n,n,n,n,n,n/a,1500,n/a,n/a,n/a,n/a,n/a,y,n,n/a,y,y,y,y,n,900,n,n/a,n/a,n/a,n/a,inside school compound,3,n,n/a,always,always,n,n,n,y,y,y,y,y,1,2,1,n/a,n,y,n,n,n,n,n,arts,n,n,y,youth management
36.858162,-1.263795,19,Shining hope for girls / Mathare school for girls,2014,SHOFCO,y,y,n,n,n,n,n,n,y,n,n,n,n/a,n/a,n/a,n/a,n/a,Girls school,Day scholars only,n,n/a,n/a,n/a,n/a,160,1,14,n,n,y,n/a,n/a,n,n,n,n,n,n,y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,y,n,n/a,y,y,y,y,n,0,n,1,1,1,n/a,inside school compound,8,y,n,always,always,n,n,n,y,n,n,y,y,n/a,n/a,n/a,n/a,n,y,n,n,n,n,n,n/a,n/a,n/a,n/a,n/a
36.854222,-1.261399,20,Hope baptist academy,2008,Baptist church,y,y,n,n,n,n,n,n,n,y,n,n,n/a,government registered,private,n/a,n/a,Mixed boys and girls,Day scholars only,y,n/a,n/a,350,200,150,4,7,y,n,n,n/a,n/a,n,n,n,n,n,n,y,n/a,n/a,600,600,800,n/a,n/a,n,y,n/a,y,y,y,y,y,150,y,2,2,3,3,inside school compound,19,n,n,sometimes,sometimes,n,n,n,y,y,y,y,y,4,7,11,n/a,y,n,n,y,n,n,n,n/a,y,n,n,n/a
